County,Office,Candidate,Party,District,Votes
,County Commissioner,Maureen  Dougherty,Democratic,Tipton,1960
,County Commissioner,Melissa Brush,Democratic,Switzerland,1087
,County Commissioner,MICHAEL C REPAY,Democratic,County Commissioner 3,36178
,County Commissioner,Michael Spaulding II,Democratic,Grant,7839
,County Commissioner,MIKE GOEBEL,Democratic,Vanderburgh,48422
,County Commissioner,Mike Kellems,Democratic,LaPorte,21406
,County Commissioner,Ollie H Dixon,Democratic,"1, 2, 3",16575
,County Commissioner,RAFAEL A MORTON,Democratic,2,22160
,County Commissioner,Randy Dreher,Democratic,Vermillion,2792
,County Commissioner,Randy Novak,Democratic,LaPorte,21583
,County Commissioner,RAY E. McCAMMON,Democratic,Sullivan,3129
,County Commissioner,Sherry L Roe,Democratic,Howard,13043
,County Commissioner,Steve C Lindsey,Democratic,Greene,3895
,County Commissioner,SUSAN K CATTERALL,Democratic,Steuben,4047
,County Commissioner,Terry Sturgeon,Democratic,Fayette,1908
,County Commissioner,Tiffany Arndt,Democratic,Brown,2814
,County Commissioner,TIM HARBISON,Democratic,Floyd,17824
,County Commissioner,Timothy Brown,Democratic,Orange,1862
,County Commissioner,Timothy J Eaton,Democratic,Cass,3991
,County Commissioner,Todd Smith,Democratic,Vermillion,2219
,County Commissioner,Tony Curtis,Democratic,Warrick,10948
,County Commissioner,TONY KASSISSIEH,Democratic,Vigo,16160
,County Commissioner,VERONICA M COMBS,Democratic,Floyd,16244
,County Commissioner,Warren E. Fleetwood,Democratic,Gibson,6303
,County Commissioner,William L. Jennings,Democratic,Owen,2597
,County Commissioner,Winnie Soviar,Democratic,Shelby,4575
,County Commissioner,Andrew David Andy Wilkinson,Independent,Benton,1223
,County Commissioner,ARTHUR LEE FOULK ,Independent,Steuben,0
,County Commissioner,ClaraMary Winebrenner,Independent,DeKalb,5678
,County Commissioner,David G Barrett,Independent,Scott,1817
,County Commissioner,Greg Taggart,Independent,Brown,2544
,County Commissioner,Jason B Mccoy,Independent,Martin,1877
,County Commissioner,Kelly Kammerer,Independent,Noble,5475
,County Commissioner,Logan R. Wuethrich,Independent,Pulaski,2092
,County Commissioner,Steve Moore,Independent,Posey,3254
,County Commissioner,AMANDA MITCHELL,Libertarian,3,1842
,County Commissioner,"Hugh Coy Applegate, II",Libertarian,Randolph,1358
,County Commissioner,Jaime Ortiz Jr.,Libertarian,Tippecanoe,12563
,County Commissioner,Larry J Mahaney,Libertarian,Clark,2589
,County Commissioner,Marquest Higgins,Libertarian,"1, 2, 3",3271
,County Commissioner,Rhonda Ann Greene,Libertarian,Washington,913
,County Commissioner,Steven Michael Mayoras,Libertarian,Tippecanoe,12966
,County Commissioner,Aaron Fruits,Republican,Fountain,6316
,County Commissioner,Aaron Moose Summers,Republican,Martin,2765
,County Commissioner,Aaron Roberts,Republican,Wayne,19321
,County Commissioner,Adam Bomar,Republican,Scott,4604
,County Commissioner,Adam Faulstich,Republican,Marshall,13444
,County Commissioner,AMY T. CANTERBURY,Republican,Vanderburgh,41746
,County Commissioner,Andy T Beck,Republican,Putnam,13117
,County Commissioner,Anita F Hess,Republican,Noble,11510
,County Commissioner,Annissa Kellum-Reas,Republican,Harrison,14669
,County Commissioner,ANTHONY (TONY) HAZEN,Republican,3,22491
,County Commissioner,Bert Weaver,Republican,Clinton,9546
,County Commissioner,Bill Collins,Republican,Posey,8647
,County Commissioner,Bill Spalding,Republican,Hancock,33811
,County Commissioner,Blake Gerber,Republican,Wells,11252
,County Commissioner,Brad  Whicker,Republican,Hendricks,50258
,County Commissioner,Bradley D Rogers,Republican,Elkhart,54861
,County Commissioner,BRANT FORD,Republican,Sullivan,5349
,County Commissioner,Brenda Meadows Weaver,Republican,Miami,9889
,County Commissioner,Brian P. Baird,Republican,Johnson,55325
,County Commissioner,Brian Wenning,Republican,Decatur,10464
,County Commissioner,Bryan Allender,Republican,Clay,9891
,County Commissioner,Bryan Andrew Collier,Republican,Morgan,27993
,County Commissioner,Bryan Schorr,Republican,Posey,10619
,County Commissioner,Cary P Groninger,Republican,Kosciusko,27173
,County Commissioner,Chad Banks,Republican,Whitley,14093
,County Commissioner,Chad Blessinger,Republican,Dubois,17634
,County Commissioner,Charles (Chuck) Poling Jr,Republican,Grant,15607
,County Commissioner,Charles R Chesak,Republican,Starke,8041
,County Commissioner,Charlie St John,Republican,Jennings,9762
,County Commissioner,Cheryl Ross,Republican,Wabash,11106
,County Commissioner,CHRIS SWITZER,Republican,Vigo,24849
,County Commissioner,Chuck Lewis,Republican,Gibson,9198
,County Commissioner,Clay Andrews,Republican,Warren,3771
,County Commissioner,Connie J Brown,Republican,Ohio,2512
,County Commissioner,Connie Sellers,Republican,Clark,31336
,County Commissioner,Craig A Standish,Republican,Jasper,12625
,County Commissioner,CRAIG GREENWOOD,Republican,Warren,3840
,County Commissioner,Dale Munson,Republican,Fayette,7433
,County Commissioner,Dan Borgenheimer,Republican,Blackford,4102
,County Commissioner,DAN GUARD,Republican,Montgomery,13802
,County Commissioner,Dan R Collom,Republican,Parke,5358
,County Commissioner,David Bramer,Republican,Jefferson,10709
,County Commissioner,David L Lawson,Republican,Shelby,13927
,County Commissioner,David L. Davis,Republican,White,9161
,County Commissioner,David Risk,Republican,Owen,6857
,County Commissioner,David S. Byers,Republican,Tippecanoe,39794
,County Commissioner,David Sommers,Republican,Fulton,7267
,County Commissioner,Dean VanWinkle,Republican,Union,2522
,County Commissioner,Dennis W Dawes,Republican,Hendricks,49848
,County Commissioner,Don Adams,Republican,Morgan,27908
,County Commissioner,"Donald (Don) Street, Jr.",Republican,Pulaski,3224
,County Commissioner,Donald (Donnie) Lawson,Republican,Boone,28375
,County Commissioner,Doug Horn,Republican,Jay,6691
,County Commissioner,Douglas L. Bauman,Republican,Adams,10728
,County Commissioner,DREW MARKEL,Republican,Jackson,15627
,County Commissioner,DREW STOREY,Republican,Jackson,15802
,County Commissioner,Duane Bischoff,Republican,Dearborn,24026
,County Commissioner,Duane Monroe,Republican,Jay,6148
,County Commissioner,EDWARD K. MORALES,Republican,Porter,44911
,County Commissioner,Edward L Michael,Republican,Greene,11658
,County Commissioner,FRANK A LOOP,Republican,Floyd,24234
,County Commissioner,Gabriel Nobbe,Republican,Decatur,10145
,County Commissioner,Gary D Leatherman,Republican,Noble,14880
,County Commissioner,HEATHER J GRIES,Republican,Spencer,8185
,County Commissioner,Jack A Coffman Sr,Republican,Clark,32729
,County Commissioner,Jackie W Dodd,Republican,Howard,25184
,County Commissioner,JAKE BOHLANDER,Republican,Montgomery,13778
,County Commissioner,James (Jim) Miller,Republican,DeKalb,15361
,County Commissioner,JASON SHARP,Republican,Floyd,22404
,County Commissioner,Jeannine Gray,Republican,Hancock,34083
,County Commissioner,Jeff D Mcknight,Republican,Lawrence,16496
,County Commissioner,Jeff Koch,Republican,Franklin,9467
,County Commissioner,Jeff Nelson,Republican,Pike,4504
,County Commissioner,Jeff Plasterer,Republican,Wayne,19368
,County Commissioner,Jeff Stringer,Republican,Wells,11127
,County Commissioner,Jeffery (Jeff) Wilson,Republican,Rush,6137
,County Commissioner,Jeffrey J Volz,Republican,Ripley,12353
,County Commissioner,Jenny Halleck Knebel,Republican,Pulaski,3780
,County Commissioner,Jerry Tippy,Republican,County Commissioner 2,60394
,County Commissioner,Jesse Bohannon,Republican,Marshall,13048
,County Commissioner,JIM BIGGS,Republican,Porter,48669
,County Commissioner,Jim Thatcher,Republican,Dearborn,23935
,County Commissioner,Joe Haney,Republican,LaPorte,23591
,County Commissioner,Joe Van Deventer,Republican,Monroe,23147
,County Commissioner,John A Lancaster,Republican,Blackford,3996
,County Commissioner,John M Richwine,Republican,"1, 2, 3",44745
,County Commissioner,JOHN M. WATERMAN SR.,Republican,Sullivan,6995
,County Commissioner,John Phillip Gick,Republican,Benton,2532
,County Commissioner,Joseph L Bennett,Republican,Switzerland,3071
,County Commissioner,Kaleb D. Pass,Republican,White,8165
,County Commissioner,Kellen R Dooley,Republican,DeKalb,12244
,County Commissioner,Ken Montgomery,Republican,Gibson,12616
,County Commissioner,Kenneth KW Rice,Republican,Fountain,6078
,County Commissioner,Kevin Myers,Republican,Clinton,9971
,County Commissioner,Kevin Patrick,Republican,Brown,5758
,County Commissioner,Kevin R Myers,Republican,LaGrange,8478
,County Commissioner,Kimberly Poland,Republican,County Commissioner 3,21800
,County Commissioner,LARRY INGLE,Republican,Crawford,2956
,County Commissioner,Larry S. Kleinhenz,Republican,Bartholomew,21115
,County Commissioner,MALCOLM (MAC) WEBB,Republican,Spencer,8464
,County Commissioner,Mark E. Heirbrandt,Republican,Hamilton,132624
,County Commissioner,Mark Horner,Republican,Miami,10222
,County Commissioner,Marty A Heffner,Republican,Clay,10040
,County Commissioner,Melissa (Missy) Williams,Republican,Randolph,8111
,County Commissioner,Michael M Keith,Republican,Daviess,9706
,County Commissioner,Michael VanDeMark,Republican,Starke,7151
,County Commissioner,Michael W Stajduhar,Republican,Cass,11268
,County Commissioner,MIKE MORRIS ,Republican,Vigo,23705
,County Commissioner,Misty Lee Hess,Republican,Vermillion,4130
,County Commissioner,Morton M Dale,Republican,Crawford,3514
,County Commissioner,Nancy E. Cline,Republican,Tipton,5601
,County Commissioner,Nathan L Abrams,Republican,Greene,10057
,County Commissioner,Nathan Runnebohm,Republican,Shelby,13957
,County Commissioner,Nelson Stepro,Republican,Harrison,14760
,County Commissioner,Nick Hostetter,Republican,Dubois,17229
,County Commissioner,Pam Jamniczky,Republican,Perry,4547
,County Commissioner,Peter A Cook,Republican,LaGrange,8565
,County Commissioner,Phil Marshall,Republican,Washington,9379
,County Commissioner,Phil Mcginnis,Republican,Benton,3437
,County Commissioner,Randy Cole,Republican,Perry,4271
,County Commissioner,Randy Julian,Republican,Scott,5467
,County Commissioner,Retha Warner,Republican,Martin,4003
,County Commissioner,Richard A Ranstead,Republican,Fulton,7283
,County Commissioner,RICHARD RICK SHIPE ,Republican,Steuben,13256
,County Commissioner,Richard W. Dixon,Republican,Orange,6874
,County Commissioner,Rick Gardner,Republican,"1, 2, 3",34927
,County Commissioner,RJ Dunavan,Republican,Vermillion,4653
,County Commissioner,Rob Churchill ,Republican,Newton,4987
,County Commissioner,Robert B Bray,Republican,Howard,24868
,County Commissioner,Robert Little,Republican,Jefferson,10976
,County Commissioner,Roger Gullion,Republican,Ripley,12361
,County Commissioner,Ron Turpin,Republican,Allen,109733
,County Commissioner,Ronald (Ron) Jarman,Republican,Rush,6230
,County Commissioner,Ronald H. (Ron) West,Republican,Johnson,50718
,County Commissioner,Ruth E Baker,Republican,Cass,9912
,County Commissioner,Ryan Coleman,Republican,Pike,4866
,County Commissioner,Ryan Harrison,Republican,Switzerland,3565
,County Commissioner,Ryan T Hilton,Republican,Jasper,12545
,County Commissioner,Sam Hobbs ,Republican,Owen,7955
,County Commissioner,Sarah Millis-Seaton,Republican,Warrick,20764
,County Commissioner,Scott Pell,Republican,Boone,28101
,County Commissioner,Scott W Ayres,Republican,Carroll,8257
,County Commissioner,Shane Boswell,Republican,Jennings,9497
,County Commissioner,Shane E. Middlesworth,Republican,Grant,18430
,County Commissioner,Shane Koons,Republican,Ohio,2520
,County Commissioner,Sherry K Riggin,Republican,Delaware,33569
,County Commissioner,Stacey Franz,Republican,Warrick,20553
,County Commissioner,Stan A Stoppenhagen,Republican,Adams,11097
,County Commissioner,Stephen Brand,Republican,Delaware,25535
,County Commissioner,Steve Dellinger,Republican,Henry,17832
,County Commissioner,Steve Holifield,Republican,LaPorte,23581
,County Commissioner,Steve Hopper,Republican,Orange,6320
,County Commissioner,Steven C. Dillinger,Republican,Hamilton,131789
,County Commissioner,Steven Eilers,Republican,Newton,5164
,County Commissioner,Sue Ann Mitchell,Republican,Kosciusko,27639
,County Commissioner,Susan Huhn,Republican,Henry,17655
,County Commissioner,SUZIE WEIRICK,Republican,Elkhart,55596
,County Commissioner,TERRY STOFFEL,Republican,Huntington,13420
,County Commissioner,Theresa (Green) Baysinger,Republican,Whitley,13727
,County Commissioner,Thomas (TJ) Brink,Republican,Knox,11785
,County Commissioner,Thomas (Tom) Kerns,Republican,Randolph,8330
,County Commissioner,Tim J Clark,Republican,Brown,3906
,County Commissioner,Tim M Williams,Republican,Union,3019
,County Commissioner,Timothy J Ellerman II,Republican,Knox,11594
,County Commissioner,Tom Helmer,Republican,Putnam,13553
,County Commissioner,Tom Murtaugh,Republican,Tippecanoe,41516
,County Commissioner,TOM WALL,Republican,Huntington,11229
,County Commissioner,Tony Cardwell Jr.,Republican,Washington,8438
,County Commissioner,Tony London,Republican,Bartholomew,25479
,County Commissioner,Tracey B. Powell,Republican,Tipton,6150
,County Commissioner,Tracie Bever,Republican,Fayette,7298
,County Commissioner,Tracy (TC) Cook,Republican,Daviess,9607
,County Commissioner,Tyler J Niccum,Republican,Wabash,11332
,County Commissioner,Wallace M Branham,Republican,Lawrence,16955
,County Commissioner,WIL HOWARD,Republican,Steuben,11335
,County Commissioner,William R Brown (Bill),Republican,Carroll,8132
,County Council Member,Adam Mann,Democratic,Dubois,3886
,County Council Member,Adrienne A Akers,Democratic,Howard,10884
,County Council Member,Alexander Sulek,Democratic,Randolph,2148
,County Council Member,Amanda Eldridge,Democratic,Tippecanoe,21403
,County Council Member,Anna Corbett,Democratic,Marshall,5330
,County Council Member,Ashley McAlister,Democratic,Switzerland,973
,County Council Member,Austin Schaber,Democratic,Orange,1738
,County Council Member,Ben Carson,Democratic,Tippecanoe,24763
,County Council Member,Bethany Wesley,Democratic,Marshall,3868
,County Council Member,Blythe E. Potter,Democratic,Johnson,17817
,County Council Member,BOB DEIG,Democratic,Vanderburgh,29044
,County Council Member,BOB DERUNTZ,Democratic,Porter,35721
,County Council Member,BRAD STRIEGEL,Democratic,Floyd,17120
,County Council Member,Brandon R. Deig,Democratic,Posey,5703
,County Council Member,Brian Durham,Democratic,Fayette,2100
,County Council Member,Brian Hollingsworth,Democratic,Wells,2420
,County Council Member,Bruce W Luttringer,Democratic,Jasper,2584
,County Council Member,Byron Fultz,Democratic,Vermillion,1729
,County Council Member,Carl Vane Lashua,Democratic,Fayette,1118
,County Council Member,Carol Pearson,Democratic,Hancock,10073
,County Council Member,Chance A Hoover,Democratic,Parke,1487
,County Council Member,CHARLOTTE P WOLFE,Democratic,F,4790
,County Council Member,Chase D Yanzer,Democratic,Shelby,4760
,County Council Member,Cheryl (East) Lone,Democratic,Harrison,4677
,County Council Member,Cheryl Munson,Democratic,Monroe,27750
,County Council Member,Chris Musick,Democratic,Delaware,15452
,County Council Member,Christina Gilkey,Democratic,Clark,19081
,County Council Member,Christina Persson,Democratic,Franklin,1974
,County Council Member,Clint A. Fink,Democratic,Warren,1081
,County Council Member,Craig VanHook,Democratic,Fountain,1202
,County Council Member,Daniel Kreilein,Democratic,Dubois,4522
,County Council Member,DANIEL T HARRIS,Democratic,Floyd,12794
,County Council Member,Danielle Crim,Democratic,Vermillion,1547
,County Council Member,Daren Cook,Democratic,Pike,899
,County Council Member,David G Henry ,Democratic,Monroe,24772
,County Council Member,Dawn Victor,Democratic,Dearborn,4895
,County Council Member,Dean Duncan,Democratic,Newton,1345
,County Council Member,Don Vogel,Democratic,Clark,12428
,County Council Member,DUSTIN STEPHENS,Democratic,Vanderburgh,20261
,County Council Member,Eldon Butch Jeffries,Democratic,Jasper,3572
,County Council Member,ELLEN MORRISON KELLEY,Democratic,Floyd,14561
,County Council Member,ERIK WAGNER,Democratic,Porter,32267
,County Council Member,Essie D Foster,Democratic,Howard,8787
,County Council Member,Frank G Rock Jr.,Democratic,Hancock,7677
,County Council Member,Fred Reese JR,Democratic,Madison,14991
,County Council Member,Harold (Chuck) DaVia,Democratic,Hendricks,18653
,County Council Member,Helen Piotter,Democratic,Miami,3631
,County Council Member,Hunter Collins,Democratic,Dearborn,4940
,County Council Member,JACQUELINE TRIGG,Democratic,Huntington,2623
,County Council Member,James R Hensley Jr.,Democratic,Union,1157
,County Council Member,JAMES W. (JIM) BRAMBLE,Democratic,Vigo,14588
,County Council Member,JENN SHABAZZ,Democratic,D,5769
,County Council Member,Jim  Boswell,Democratic,Scott,2577
,County Council Member,Jim Brewer,Democratic,Clark,15410
,County Council Member,Joan (Etienne) Hess,Democratic,Perry,2984
,County Council Member,Joe Walsh,Democratic,Hendricks,23431
,County Council Member,John C Lizenby,Democratic,Scott,4100
,County Council Member,John E Cole,Democratic,Cass,4158
,County Council Member,JOHN HURLEY,Democratic,Spencer,4395
,County Council Member,John T. Hargenrader,Democratic,Wabash,2290
,County Council Member,Johnny Stimley,Democratic,LaPorte,15713
,County Council Member,KARESE D. JOHNSON,Democratic,Vanderburgh,23645
,County Council Member,Kasey Bula Clark,Democratic,Starke,2174
,County Council Member,Katy O'Malley Bunder,Democratic,Tippecanoe,24148
,County Council Member,Keely J. Gladieux,Democratic,Hamilton,72948
,County Council Member,Kevin Hunter,Democratic,Allen,47027
,County Council Member,Kevin Peters,Democratic,Elkhart,21408
,County Council Member,KEVIN RICE,Democratic,Huntington,3493
,County Council Member,Kim White,Democratic,Hendricks,21947
,County Council Member,Lester T Moore,Democratic,Newton,887
,County Council Member,Linda A Robinson,Democratic,Hancock,10104
,County Council Member,MARIE BELZILE-THEISZ,Democratic,Vigo,15178
,County Council Member,Mark A Newhart,Democratic,Clinton,3245
,County Council Member,Mark B. Jones,Democratic,Orange,1934
,County Council Member,Mark Bertolino,Democratic,Fountain,947
,County Council Member,MARK CATANZARITE,Democratic,G,8730
,County Council Member,Mason Barclay,Democratic,Warrick,11048
,County Council Member,Matt Johnson,Democratic,Dubois,4409
,County Council Member,Megan Rogers,Democratic,Marshall,4540
,County Council Member,Melanie Hoffman,Democratic,Decatur,2930
,County Council Member,Melvin Bolden Jr.,Democratic,Morgan,7310
,County Council Member,Michael Chiappetta,Democratic,Johnson,16712
,County Council Member,Michael Quintanilla,Democratic,Noble,3000
,County Council Member,Michelle Carr,Democratic,Bartholomew,10266
,County Council Member,Mike Mollenhauer,Democratic,LaPorte,18291
,County Council Member,Monica Yane,Democratic,Franklin,1932
,County Council Member,Nancy Merbitz,Democratic,Bartholomew,9013
,County Council Member,Nena Bailey,Democratic,Allen,48315
,County Council Member,NICK CULLISON,Democratic,Sullivan,3364
,County Council Member,Paul J Malone,Democratic,Perry,3378
,County Council Member,Phillip G Morgan,Democratic,Ripley,2945
,County Council Member,Ralph Spelbring,Democratic,Elkhart,17576
,County Council Member,"Ray Anderson, JR.",Democratic,White,3040
,County Council Member,Rebecca (Becky) Crumes,Democratic,Madison,17601
,County Council Member,Robert M Kurzeja,Democratic,Noble,2407
,County Council Member,Robert M. Snowdon,Democratic,Starke,1978
,County Council Member,Roger Overbey,Democratic,Delaware,13704
,County Council Member,Ron Stateler,Democratic,Vermillion,2939
,County Council Member,Ronald Parker,Democratic,Starke,1887
,County Council Member,ROXANNA LUCAS MURRAY,Democratic,Huntington,2812
,County Council Member,Royden Jay Halveland,Democratic,Fayette,1362
,County Council Member,Russel Rude,Democratic,Union,918
,County Council Member,Saad Tawfeeq,Democratic,Johnson,13274
,County Council Member,Sandra (Wood) Calvert,Democratic,Owen,2405
,County Council Member,Scott (Scotty) Ford,Democratic,LaPorte,15497
,County Council Member,SHARON HANSEL,Democratic,Switzerland,899
,County Council Member,Shawn E Scott,Democratic,Crawford,2087
,County Council Member,Stephanie (Anie) Henry,Democratic,Allen,50783
,County Council Member,Stephen Holtzleiter,Democratic,Madison,16325
,County Council Member,Steve Owen,Democratic,Perry,2225
,County Council Member,Steven Powell,Democratic,Harrison,4449
,County Council Member,SYLVIA GRAHAM,Democratic,Porter,34713
,County Council Member,TAMI SPRINGER,Democratic,I,5253
,County Council Member,Tammy Ingalls,Democratic,Wabash,2931
,County Council Member,Teresa Baker Vannarsdall,Democratic,Scott,2752
,County Council Member,Terry L Koons,Democratic,Greene,3875
,County Council Member,Todd Meadors,Democratic,Pike,2434
,County Council Member,TODD THACKER,Democratic,Vigo,14747
,County Council Member,Tom Booe,Democratic,Fountain,2189
,County Council Member,Trent Deckard,Democratic,Monroe,28847
,County Council Member,Troy Hornberger,Democratic,Noble,3457
,County Council Member,Wilma Swango Rosenberger,Democratic,Switzerland,1110
,County Council Member,Zack Patchett,Democratic,Bartholomew,8449
,County Council Member,Dennis Layman,Independent,Blackford,1414
,County Council Member,Joe Davis,Independent,Monroe,329
,County Council Member,JOHN SHUTTLEWORTH,Independent,Huntington,5122
,County Council Member,MARIA FLEMING,Indiana Redemption Party,D,1212
,County Council Member,Megan Fritchley,Independent,Perry,1596
,County Council Member,Scott J Burke,Independent,Wells,3065
,County Council Member,Brandon Collins,Libertarian,Madison,6342
,County Council Member,Chad  VanRyn,Libertarian,Owen,1603
,County Council Member,Darin Kinser,Libertarian,Lawrence,3177
,County Council Member,Dean Bertelli,Libertarian,Tippecanoe,2348
,County Council Member,Dustin Combs,Libertarian,Owen,1414
,County Council Member,Holly Mayoras,Libertarian,Tippecanoe,4039
,County Council Member,Luke J LomaX,Libertarian,Hancock,5331
,County Council Member,Michael Russell,Libertarian,Lawrence,3067
,County Council Member,Morgan Beatty,Libertarian,Floyd,4439
,County Council Member,Niklas Siniard,Libertarian,Lawrence,1805
,County Council Member,Randall J (Randy) Young,Libertarian,Tippecanoe,3838
,County Council Member,Ryan Day,Libertarian,Whitley,3989
,County Council Member,STEPHEN CRAWFORD,Libertarian,Jackson,3111
,County Council Member, Joe Frye,Republican,Owen,4840
,County Council Member,AARON PATRICK BENTON,Republican,Spencer,5762
,County Council Member,Adam Koronka,Republican,LaPorte,18021
,County Council Member,Adam M Bujalski,Republican,Elkhart,41361
,County Council Member,Alan D. Waynick,Republican,Orange,4561
,County Council Member,Albert AJ Gutwein,Republican,Pulaski,3071
,County Council Member,Amanda Brown,Republican,Putnam,7799
,County Council Member,AMANDA CUNNINGHAM LOWERY,Republican,Jackson,11930
,County Council Member,Amy Prosser,Republican,DeKalb,10062
,County Council Member,Andrew Decker,Republican,Ripley,7860
,County Council Member,ANDY BOZAK,Republican,Porter,43453
,County Council Member,ANDY RUTTEN,Republican,I,7797
,County Council Member,Angela (Angie) C Brown,Republican,Carroll,6609
,County Council Member,Art Anderson JR,Republican,White,5439
,County Council Member,Ashley Ave James,Republican,Vermillion,3935
,County Council Member,Barry Richard,Republican,Tippecanoe,25293
,County Council Member,Barry S Baldwin,Republican,Fulton,4859
,County Council Member,Beverly J. Fields,Republican,Randolph,5346
,County Council Member,Bill Metz,Republican,Decatur,7312
,County Council Member,Bill R Crase Jr.,Republican,Starke,5090
,County Council Member,Bob Gonczy,Republican,Newton,3533
,County Council Member,Bob Krafft,Republican,DeKalb,10532
,County Council Member,Bonnie  Adams,Republican,Union,1593
,County Council Member,BRAD A ANDERSON ,Republican,Vigo,20191
,County Council Member,Brad Overton,Republican,Warrick,17623
,County Council Member,Bradley Gilbert,Republican,Washington,3967
,County Council Member,Bradley T. Bookout,Republican,Delaware,21161
,County Council Member,Brady Foster,Republican,Warren,2688
,County Council Member,Brandon (Brad) Beaver,Republican,Hamilton,85222
,County Council Member,Brandon S Schadek,Republican,Marshall,9931
,County Council Member,BRENDA WILSON ,Republican,Vigo,15227
,County Council Member,Brent Cox,Republican,Benton,2461
,County Council Member,Brett A Sanders,Republican,Howard,18338
,County Council Member,Brett H. Kessler,Republican,LaPorte,20711
,County Council Member,BRIAN E GREULICH,Republican,Spencer,5422
,County Council Member,Brian Patterson,Republican,Franklin,6251
,County Council Member,Brian R. Moore,Republican,Jasper,9035
,County Council Member,Bryan Alexander,Republican,Jay,4310
,County Council Member,Bryan K Woodall,Republican,Greene,7844
,County Council Member,Carrie Barwick,Republican,Switzerland,2078
,County Council Member,Carroll W Lanning,Republican,Franklin,6765
,County Council Member,Casey Dick,Republican,Blackford,2277
,County Council Member,Casey R Myers,Republican,Noble,9656
,County Council Member,Cathy C Williams,Republican,Wayne,10145
,County Council Member,Chad Malicoat,Republican,Henry,12425
,County Council Member,Charity Mohr,Republican,Shelby,8763
,County Council Member,CHARLES (CHARLIE) SMITH,Republican,Rush,3898
,County Council Member,Charles Ray Cleary Jr.,Republican,Ohio,1563
,County Council Member,Cheryl K Alcorn,Republican,Cass,7652
,County Council Member,Chris Fox,Republican,Clark,20565
,County Council Member,Chris Rosenberger,Republican,Union,1635
,County Council Member,Cody Martin,Republican,Carroll,6602
,County Council Member,Cory Filley,Republican,Perry,3505
,County Council Member,Craig A Menke,Republican,Crawford,1851
,County Council Member,Craig Schafer,Republican,Gibson,6817
,County Council Member,D M BAGSHAW,Republican,Floyd,19262
,County Council Member,DAN CARUSO,Republican,Steuben,9085
,County Council Member,Dan Lamar,Republican,Boone,19902
,County Council Member,Dan Reitmeyer,Republican,Knox,6968
,County Council Member,Daniel  Browning,Republican,Owen,5105
,County Council Member,Daryl L Maple,Republican,Howard,17825
,County Council Member,Dave Pearce,Republican,Posey,7122
,County Council Member,Dave Yarde,Republican,DeKalb,9296
,County Council Member,David A. Etienne,Republican,Perry,4207
,County Council Member,David Cheatham,Republican,Jennings,5096
,County Council Member,DAVID GOGEL,Republican,Spencer,5907
,County Council Member,DAVID HUNT,Republican,Montgomery,9861
,County Council Member,David L (Dave)  Wyeth,Republican,Hendricks,34522
,County Council Member,David L Sailors Sr.,Republican,Miami,7390
,County Council Member,David W Terflinger,Republican,Wabash,5752
,County Council Member,David Woodall,Republican,Jennings,3704
,County Council Member,Dean E Davenport,Republican,Cass,6842
,County Council Member,Delynn Geiger,Republican,Kosciusko,18320
,County Council Member,Dennis C. Bluhm,Republican,Adams,7383
,County Council Member,Dennis O Corn,Republican,Rush,4076
,County Council Member,Derek McGraw,Republican,Gibson,9148
,County Council Member,Donald (Donnie) Hussung,Republican,Harrison,10303
,County Council Member,Doug A Harp,Republican,Noble,11370
,County Council Member,Doug Heron,Republican,Tipton,3591
,County Council Member,Doug Uebelhor,Republican,Dubois,11685
,County Council Member,Dustin C Plunkett,Republican,Boone,18374
,County Council Member,E. Todd Leinbach,Republican,Starke,4626
,County Council Member,ED BASSEMIER,Republican,Vanderburgh,35059
,County Council Member,Eric J Smith,Republican,Pike,3279
,County Council Member,Ernest J Gauck,Republican,Decatur,6985
,County Council Member,Ethan L. Foxworthy,Republican,Warren,2706
,County Council Member,Eugene (Gene) Rudicel,Republican,Jennings,5909
,County Council Member,Eugene Whitehead,Republican,Delaware,16840
,County Council Member,Florinda A Pruitt,Republican,Vermillion,3581
,County Council Member,Gabe  Nobbe,Republican,Fayette,5041
,County Council Member,Gale S. Garner,Republican,Perry,3779
,County Council Member,Gary Copeland,Republican,Jefferson,7854
,County Council Member,GARY D BOOTH,Republican,Montgomery,10623
,County Council Member,George Edward Key,Republican,Orange,4268
,County Council Member,Gerald (Gary) Saunders,Republican,Wayne,11746
,County Council Member,Gerald D Montgomery,Republican,Martin,2186
,County Council Member,Glen R Bischoff,Republican,Franklin,7539
,County Council Member,Glenn D. Wright,Republican,Dearborn,18609
,County Council Member,Greg Brankle,Republican,"D1, D2, D3, D4",12078
,County Council Member,Greg K Willis,Republican,Pike,2892
,County Council Member,Gregory (Greg) Cheesman,Republican,Randolph,5911
,County Council Member,Gregory S. Kitts,Republican,"D1, D2, D3, D4",11045
,County Council Member,Heather Allyn,Republican,Posey,7031
,County Council Member,Heather Oake,Republican,LaPorte,17237
,County Council Member,Heather Traylor Foy,Republican,Jefferson,7327
,County Council Member,Heidi L Mccord,Republican,Newton,3475
,County Council Member,J. B.  BUTLER,Republican,Parke,3998
,County Council Member,Jack D Beckley,Republican,Blackford,2404
,County Council Member,JACKIE ANN MONK,Republican,Sullivan,4363
,County Council Member,Jacob Misch,Republican,Jasper,9472
,County Council Member,JAMES (JAMIE) W. HOTCHKISS,Republican,Huntington,10044
